,crossover,errorLimit,f1,fbest,freq,grad,nPop,sol,time
32,NotModalSixPoint,0.1,300,[9.42607509],"209.70196355430062, 916.2217078121165, 1534.8110052169582, 1840.0686201350188, 2439.643859898329, 3310.344003069695",600,40,1111111111111111101110111000101000100000,3609.4598438739777
33,NotModalSixPoint,0.1,300,[12.16339526],"207.88383429021428, 1072.397178992481, 1707.2823073768309, 1880.2060049894767, 2701.3596865597306, 3796.6010532609516",700,40,1111111111111111111111110101010100110000,3612.8008255958557
34,NotModalSixPoint,0.1,300,[14.98436903],"203.4765915037723, 1115.0637700227073, 1762.1571763538857, 1833.4435302170348, 2908.3356974242706, 4295.353971115064",800,40,1111111111111111111111101110111010100000,3619.3597757816315
35,NotModalSixPoint,0.1,350,[20.22478854],"110.43857718480218, 505.0924483832203, 748.3899685915222, 926.7781062617922, 1181.2140632497778, 1881.4174288107365",200,40,0010101010110000111110110000000000000000,3611.6032767295837
36,NotModalSixPoint,0.1,350,[12.6507603],"146.03089191551425, 631.1845062022957, 955.1505931060873, 1238.3777497598735, 1555.9668058482584, 2088.207470776578",300,40,1101100110101001000110010001000000000001,3610.829089641571
37,NotModalSixPoint,0.1,350,[10.39259846],"159.76920985958748, 772.9903430885437, 1154.8870932442846, 1549.8086358229477, 1875.877831118827, 2366.4525794529964",400,40,1011100110011001110111011001001000001001,3613.8976500034332
38,NotModalSixPoint,0.1,350,[9.96171655],"196.99441254560648, 840.9485745893944, 1351.7907329590053, 1685.501944472924, 2255.005950766127, 2904.800083794145",500,40,1111111110111011111111010100100010000001,3609.3198404312134
39,NotModalSixPoint,0.1,350,[11.54174594],"207.62956411589906, 976.496447097561, 1549.2326428650306, 1862.3569917776492, 2436.0560463141583, 3381.4803961737102",600,40,1111111111111111101110010111101010000000,3614.780701637268
40,NotModalSixPoint,0.1,350,[13.67192247],"207.58344392376245, 1057.356258502133, 1723.657585894493, 1839.537177651296, 2717.007027891611, 3868.193362546852",700,40,1111111111111111111111110110010101010000,3613.7690103054047
41,NotModalSixPoint,0.1,350,[17.37036822],"201.95326195707054, 1157.486315580403, 1734.84363397854, 1855.8844928169558, 2926.8849339131593, 4342.488884898054",800,40,1111111111111111111111111111011101010000,3609.417957544327
