,errorLimit,f1,fbest,freq,grad,nPop,sol,time
20,1,200,[20.20752933],"129.18129374766107, 764.7304755465811, 1144.2898408221586, 1228.0526799790239, 2076.9000509944053, 3342.256836451153",600,100,11101111010110110101100111101110101111101001100111011100100101111111100110111111110111011101110101110111110110111111101101000110001011110110011001001100001111111011111001000101111011110111011010111111000101010111101101100011110111110001101101011110101111010001010011110000001111111101110111010010111100110101111100001010001101010000111011101111110100011001011000111110110100111001010100011101011101100100100011110001101011111111011100010111110111111011001010101111011011010100110100110101011011001010110111110001101010011101011111011111110000111111000101100110001101011011001011110111011011110000000110101111011000001100100100111110111000100101001001110111000000011011101111001100000001001011011000001111100001111111001100010011110101010100100100100110000000000011100000011001111001101111110001010111,3827.4790670871735
21,5,200,[17.38007184],"133.87582718279583, 787.3958185685246, 1174.9064325746758, 1293.7238266528561, 2158.8897248128796, 3241.1238891645476",600,100,01110010111111110111111110110010111111111111101000100100111101010110110111000111011011011110010001101110011001011111100111101011110001111010110000001101111010110110010011100001111111001011111101111110100110111111010111101110011110011100101111010110110110011011001111001111100101111011110100011111011101100011110001101111111111101101111011001010111111011111010011110100101011101110111011011010001100101010100111111111111000011001101101101110011010011101011101100101100010011000111110100001110111110110010110101110101111100011100011001001010100011111010000111000000001111111111101000001100101110010011110011011011001001110101101010011000001111110011000001110111001011101010001010011000100011110001101100110010101111011011010101001010001110100011101000101100000100011011101001010100001001110010000001001,3921.02414727211
22,10,200,[18.044085],"134.095845948483, 786.9453137376834, 1164.4772379000094, 1289.3881504866577, 2232.7929725871454, 3430.515298875783",600,100,11101111001111101011110110010111111001101101110111100000111111100111110101111011100001111001110111111101111101010101101011011010111100101001110101111111011011111101111111000001111001011100011001010110101110001011011111011011110100111111110111111100111011111111011011111011111101110010110000100101011011001110100111101111010011111110100001100010111111101110001110011011011111110011101010010011100001000101110110110111110001001000000110111111001100101011101001111011111110101011000110100111100101100101101101101111011111010110000101111111011001101010111111100111111101111111111010011110111101011100011011011011110011100100010100111001111101010111001000110100001111100101001101101010011110000001010011101101101000101101011101010100011000101010011000010101001010111011101011100100011001101010011010000000,3946.3736193180084
23,15,200,[19.44159026],"128.92638885705807, 763.6916899390909, 1129.9229816304723, 1285.2590908936183, 2067.933560746223, 3234.6189548096418",600,100,10010111011010011011111011100010110111111110010111001010111011010010111010011111011110111001100011111110010110011101001111011011100100010101111011000011110101011110000111011001011101110001111011110110110100111110011010001111101101111111111010001011010111011110110111010001101111101011101100001010101111001011011110101011101100100000110011010110111010011011100101101100011110011111110100101111011011101101001010001001111001111111010001111111100101011101111101100101111001101111001100111000111000110111010010110010001110001110100111001101010011000111111100001100001100110011100011000001110010101101011011100000110010101101100011001110111111101100000010011001110101111000011001001101110101111011110111001110101001110100011000001111000011000000100000001110011001100000111110100000101001000011011101001101,3938.6469461917877
24,1,200,[15.55354933],"143.39450555993457, 799.9287986448869, 1206.7640588267102, 1331.6259262982428, 2142.275786659897, 3205.8752078302896",600,40,11110110111110110110110111001011101111111011111101110101110101111101111110101101001111101101000011111011110001111101101110011111101110011101011011001001111110001111110001000011111101111101001101101101101110101110101111001010110011110110011101111101110110110011011101111010001110110011110111111111110111111011001100101111011001011011011001011110110100100111110011100111111010111010101111101011011010101110010111001011111010000110011101010011001001011110111111110011110010001101011001011000110010011111100111010110101110101001001111011010011010011111101011100101000110011110010000010011000110111000101110110010010110100010100000010101101101111001011110111011000000100101000001110010011101101100100100001000010000101110100011100000110000101000001001101010001011001010000011001000000010100110001000011011,3694.01118183136
25,5,200,[15.47191374],"143.70639983609504, 801.0769641399527, 1189.2732118377228, 1371.5706688330758, 2197.4566276990213, 3283.0158226437384",600,40,11111011000110001011101101100111110110111111011111111010011111111111111111111111100000111110001111111111000111101111111011010001111111111000100110001011111111110111110011101001101011111101111100011011110110001001101111101011101010010001111110011111100100101101111111101111111011111111010111011101001111111101111111111110111111100101110011011011001111010111101110101010010010101001111100001101001101111100011101110011111110011100011000110111111010011010010110001100000110110100110000110101101101010111110111110111000010111000111001111101101100011010110001101101111110010001101101110111101100011101100101011101010001110100000111111100011101001111001000111110111111110000010100000100000111000111000001010110100010101100110001010100010111011100000000001101000001110000100000110010001001110011010001010101,3686.146472930908
26,10,200,[16.5780663],"142.15874180804977, 802.308103184802, 1151.2789392391428, 1307.424098392344, 2150.5083991846504, 3218.4490304865412",600,40,10110110111011111111111111011011111011110101110110101110110011101101100111011111110111110110111110110011111110011011101100101111000111101101101000111010101001111000111110111000011010111110110110100110011011111110001101111101011101100000111111001101011110001011001001110010010110111110111011100011111110010010011000010111101110100101010110111111100111111111011100101011111101100011001101110011101110111011100110001011111111010011100010011110101001110110111001111111010101110101101110001000011100110000110001000110100001100100010001101101001010001011011101101000010110111111010110000111010000011110111110111111010011100000111011101011011100011010001000010110100011101011101100111010011010011010110011001110001011111000101011100000010000010110100011000101000000101001000001011101110000000000010010000000,3703.840802192688
27,15,200,[16.16564594],"145.03734164444907, 800.6395359278707, 1181.175677348501, 1346.9683489146823, 2132.294944117038, 3301.1858292611814",600,40,10111001111001111111101011111110111011011011100111101011111101101111111111010111111011011011001001111011000110111101011111011101111111001110101101111110001111011111111110011001110010010010111110001110011111111101101101101100111111010111111011111011000110011100100101111100011111101111111001111001011000110010001111010011010110110110101110111110101000110101001011100110111101011110110111101000110101001110001100000111110110011000100010111110100110101011111101111011011111001001010111011001000111101111111011100111101100111110100010110100101011010001111000111010111110011101001011001100110100101111000010011110110000011111011010101110011000111001100011010010001010011101111110010000011010001000001100100001110111010000000011101000000000100010100100001001000101001111110000001010001110000010100101001001,3694.8283212184906
28,1,200,[19.25304031],"130.65569122223474, 774.7645628755945, 1108.0151789862837, 1295.3980520243526, 2057.3415980859363, 3223.4887935447136",600,80,11001101000011111011111101111000011100111110010011001011011101101111111001100111110100101101110011101110111110001111101111100111100111011110110011000011001101101100101100010100111110110100000001011011101111010000011010101011011110011111011010100110100101011000000111000101011111110000111101110010111110111010010111011010111010000100101111111100010101111011010101111111111101100111001011100111111111110001111100111011101101001110001001011010111011100001101110111110010010001001011000011011110011100101101110100100101111010100101111111101011110111000101000101111110001110100011100110111011001011000011101100001111010101011100111010111100100101100110101101011011001111011000011001100010000010000110010001110010001000010110010010101010101000111110111111001110000011001000011010000101010011110000000001000,3856.7503266334534
29,5,200,[18.06073967],"135.00250853539737, 795.6863795631464, 1140.5743251250085, 1253.958859434761, 2179.546611301139, 3306.327782483113",600,80,01111111011011111111111101010111111111101110100111101001111111011011000010011111111010001100011101100100110101110111111111100001110001111110011011010011110011100001111110100111110100001101101000111110101111011001001111100100111111010001111101101011011001010011011101111100011011111111111101111000100001001111101111001101110111100101010101101010111011010111101011100001111110010110111100110010100100110011011000100010110011110110101001111110001011100011011001110111011110101100000010111110111001010111111110101011111011010011011110111110011110110111011110100011001110100001100100111101101101001111001111011011000011010000110011100110010111111001000111010011101101010011011000101101001100010000001110010111010000001000000011101011100111010001000101111111001000011010101010001000101010110110101100011100,3792.802273750305
