,f1,fbest,freq,grad,nPop,sol,time
28,200,[6.35448777],"190.98586539570326, 860.3058581192657, 1415.6174171266498, 1669.966184040271, 2387.166577784834, 3208.912179970922",600,25,1111110110111111101100010101010001000000,774.0033802986145
29,200,[5.48678619],"198.33317870932325, 838.1483732472501, 1411.7017434789998, 1687.4357338929926, 2341.379642829504, 3229.048667983577",600,30,1111111111111111100110010100010001000001,870.5046627521515
30,200,[5.33085056],"196.07004057134066, 805.5708845421588, 1394.3777925827019, 1701.2345759094837, 2315.011912398773, 3103.2695887953487",600,35,1111111111111111111110010001001000101001,936.175089597702
31,200,[5.3979535],"199.0673356561605, 853.4170913464524, 1422.995169958521, 1758.2703115063398, 2333.9425302821746, 3241.032839854975",600,40,1111111111111111111110010101100010100001,1063.1166393756866
32,200,[6.15905003],"186.4067917299096, 809.0922948249383, 1426.2041312638964, 1627.7357346790732, 2383.066137477263, 3206.1635890550524",600,45,1111101111111111111101111000110000110001,1203.4427554607391
33,200,[4.67774525],"196.79854629326118, 800.890698903325, 1397.060785019639, 1711.4300385153642, 2330.1626228025784, 3242.80334882106",600,50,1111111111111111110110010100001100101000,1428.5023407936096
34,200,[4.06664767],"202.0369041285425, 804.2779740904654, 1391.184637292551, 1792.3708608368959, 2326.4898093280713, 3157.8899599036768",600,55,1111111111111111111110111000001110010000,1693.3771798610687
35,200,[4.24939033],"200.38839831673803, 823.7623701522468, 1408.541118111471, 1771.920665059499, 2351.0756919697437, 3176.1987804021137",600,60,1111111111111111111110011000010100010001,1830.8628313541412
36,200,[7.21079518],"190.9379802640068, 850.5008451809202, 1475.813502401846, 1726.4482381140897, 2253.879569466961, 3199.4882227093317",600,20,1011111111111011110111010010001011000000,632.5995669364929
37,200,[6.43903179],"198.45281240506716, 847.4213874877108, 1411.3377209004777, 1631.8667860022424, 2275.688628675343, 3192.2268381270706",600,25,1111111111111101110110100100010010001000,740.4613528251648
38,200,[6.58476663],"201.59880910881913, 942.157339100987, 1440.0855158433037, 1794.1202905809428, 2401.652310071898, 3195.086915166701",600,30,1111111110111011101111111000100110000000,830.2884585857391
39,200,[7.46120702],"188.54769797252953, 848.0726122038957, 1407.2885599649144, 1625.8041627255745, 2250.1717377939676, 3188.906300525237",600,35,1111101111111111100101011100010000100001,1078.9756853580475
40,200,[5.53425096],"201.02838118303796, 853.2885628201361, 1393.3031308191564, 1684.144338642195, 2372.8592955562617, 3167.2661430129133",600,40,1111111111111111111110110010000110010001,1425.3300704956055
41,200,[5.18400038],"201.92165199889342, 802.9340852615286, 1362.3084878225038, 1736.3775115326368, 2246.8941119635247, 3189.6945711569",600,45,1111111111111111110110010010000110100000,1258.4520678520203
42,200,[4.68134848],"203.75307716772176, 803.1432157458233, 1393.9154815443146, 1752.3602491908568, 2301.0304416929484, 3151.8967940107955",600,50,1111111111111111111110010010010010010000,1407.3812336921692
43,200,[5.35101292],"198.85567854939362, 828.2095074326267, 1408.4993961083858, 1743.489191724719, 2255.4344458592946, 3242.3221411002482",600,55,1111111111111111110110010001011010001000,1550.4143679141998
44,200,[4.68972997],"200.18535061232322, 827.7737179152897, 1417.2625701742481, 1693.703244838888, 2407.4735432635725, 3180.120076947392",600,60,1111111111111111111101111000110010000001,1772.6906292438507
