,cluster,f1,fbest,freq,grad,sol
21,18,50,[37.82179569083652],"55.568692542306884, 313.79365719085996, 859.4221033692879, 1016.7406481432507, 1578.5831791101612, 2146.3806982376486",400,"[9.611407391230253, 8.693512134238071, 8.867303038842973, 10.851670897409857, 8.693512134238071, 6.41435917019877, 7.2336946028628715, 8.468951475871279, 9.611407391230253, 11.344434902426244, 10.62137476295756, 9.040694099563659, 10.851670897409857, 10.62137476295756, 8.693512134238071, 8.087299073791517, 10.422256978647882, 9.040694099563659, 7.841654379595402, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.257338659105162, 10.257338659105162, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.599930945841747, 10.851670897409857, 9.040694099563659, 8.087299073791517, 10.257338659105162, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.422256978647882, 9.368909650485085, 8.468951475871279]"
22,19,50,[37.815432703125225],"55.56905721113945, 313.77949002340847, 859.5799202103858, 1017.7027157042318, 1578.8843379671694, 2151.2597520341237",400,"[9.611407391230253, 8.693512134238071, 8.867303038842973, 10.851670897409857, 8.693512134238071, 6.41435917019877, 7.2336946028628715, 8.468951475871279, 9.611407391230253, 11.344434902426244, 10.62137476295756, 9.040694099563659, 10.851670897409857, 10.62137476295756, 8.693512134238071, 8.087299073791517, 10.422256978647882, 9.040694099563659, 7.841654379595402, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.302073464076829, 10.167869049161832, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.599930945841747, 10.851670897409857, 9.040694099563659, 8.087299073791517, 10.302073464076829, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.422256978647882, 9.368909650485085, 8.468951475871279]"
23,20,50,[36.44406014091276],"57.10150215519551, 324.8169912744916, 879.9863763285796, 1033.403842875343, 1608.181750538969, 2168.5823205267",400,"[9.611407391230253, 8.693512134238071, 8.867303038842973, 10.851670897409857, 8.693512134238071, 6.41435917019877, 7.2336946028628715, 8.53346546855651, 9.611407391230253, 11.344434902426244, 10.62137476295756, 9.040694099563659, 10.851670897409857, 10.62137476295756, 8.693512134238071, 8.087299073791517, 10.422256978647882, 9.040694099563659, 7.841654379595402, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.302073464076829, 10.167869049161832, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.599930945841747, 10.851670897409857, 9.040694099563659, 8.087299073791517, 10.302073464076829, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.422256978647882, 9.368909650485085, 8.404437483186046]"
24,0,50,[79.04779253],"72.98044665845494, 313.56468421221484, 893.8951228470213, 1422.3601666659463, 2209.017863611275, 2934.0303329374096",600,"[3.522126076923888, 3.299488501648159, 3.5635904746350726, 3.4472010306385403, 3.093655820535716, 3.4737197886082463, 2.8935064986242964, 2.737656069725752, 2.7876515840763942, 2.669783985690661, 2.331965424307597, 3.172307000322204, 3.698007671581758, 3.960478142854002, 3.8067821719480417, 3.9188147782955416, 3.311307416159193, 3.9401407990855244, 2.1429438280819713, 3.6740035387421095, 3.316111087605598, 3.4966093505204636, 3.320669395699891, 4.1303858110497265, 3.398949918374472, 4.035730278728467, 3.670953406697265, 3.5563591680446613, 2.769153453655409, 3.266750421122145, 2.5420494853643505, 3.9204064020818885, 3.5114477819220022, 2.634368026233266, 2.720957412539735, 4.038667299149284, 3.304271222811606, 3.038699274220756, 3.236485376497326, 2.7406081762281893]"
25,10,50,[80.90420224690236],"65.83684257210484, 306.8698398362024, 821.020484881423, 1277.7337086445418, 2059.493252160523, 2465.792417986808",600,"[10.53045157341123, 9.920262502469395, 10.53045157341123, 10.53045157341123, 9.304662095078676, 10.53045157341123, 8.324766597424889, 8.324766597424889, 8.324766597424889, 7.846201497288278, 6.99589627292279, 9.304662095078676, 11.137310091726881, 11.804880091737717, 11.137310091726881, 11.804880091737717, 9.920262502469395, 11.804880091737717, 6.428831484245913, 11.137310091726881, 9.920262502469395, 10.53045157341123, 9.920262502469395, 12.204783388927478, 9.920262502469395, 12.204783388927478, 11.137310091726881, 10.53045157341123, 8.324766597424889, 9.920262502469395, 7.846201497288278, 11.804880091737717, 10.53045157341123, 7.846201497288278, 8.324766597424889, 12.204783388927478, 9.920262502469395, 9.304662095078676, 9.920262502469395, 8.324766597424889]"
26,11,50,[81.4363645715866],"65.55155275030206, 305.70897251095323, 814.572350739697, 1262.382456340337, 2054.0910853933356, 2459.026279715378",600,"[10.590079711227652, 9.880750037804537, 10.590079711227652, 10.319870737621258, 9.304662095078676, 10.319870737621258, 8.324766597424889, 8.324766597424889, 8.324766597424889, 7.846201497288278, 6.99589627292279, 9.304662095078676, 11.042964617021132, 11.727973376559, 11.727973376559, 11.727973376559, 9.880750037804537, 11.727973376559, 6.428831484245913, 11.042964617021132, 9.880750037804537, 10.590079711227652, 9.880750037804537, 12.204783388927478, 10.319870737621258, 12.204783388927478, 11.042964617021132, 10.590079711227652, 8.324766597424889, 9.880750037804537, 7.846201497288278, 11.727973376559, 10.590079711227652, 7.846201497288278, 8.324766597424889, 12.204783388927478, 9.880750037804537, 9.304662095078676, 9.880750037804537, 8.324766597424889]"
27,12,50,[81.72698631135817],"66.8980120506888, 294.7771254653032, 822.3703933817023, 1296.4242339061311, 2002.7301962548738, 2674.555134745581",600,"[10.590079711227652, 9.880750037804537, 10.590079711227652, 10.319870737621258, 9.304662095078676, 10.319870737621258, 8.68051949587289, 8.253616017735286, 8.253616017735286, 7.846201497288278, 6.99589627292279, 9.304662095078676, 11.137310091726881, 11.804880091737717, 11.137310091726881, 11.804880091737717, 9.880750037804537, 11.804880091737717, 6.428831484245913, 11.137310091726881, 9.880750037804537, 10.590079711227652, 9.880750037804537, 12.204783388927478, 10.319870737621258, 12.204783388927478, 11.137310091726881, 10.590079711227652, 8.253616017735286, 9.880750037804537, 7.846201497288278, 11.804880091737717, 10.590079711227652, 7.846201497288278, 8.253616017735286, 12.204783388927478, 9.880750037804537, 9.304662095078676, 9.880750037804537, 8.253616017735286]"
28,13,50,[80.46174327324657],"71.56927218785764, 298.3173353766208, 854.754064793808, 1453.2259977679541, 2082.0952341889383, 3027.99839520591",600,"[10.53045157341123, 9.97539877114946, 10.53045157341123, 10.53045157341123, 9.198532642134708, 10.53045157341123, 8.68051949587289, 8.253616017735286, 8.253616017735286, 7.846201497288278, 6.99589627292279, 9.675542797941675, 11.042964617021132, 11.804880091737717, 11.420346515844125, 11.804880091737717, 9.97539877114946, 11.804880091737717, 6.428831484245913, 11.042964617021132, 9.97539877114946, 10.53045157341123, 9.97539877114946, 12.204783388927478, 9.97539877114946, 12.204783388927478, 11.042964617021132, 10.53045157341123, 8.253616017735286, 9.675542797941675, 7.846201497288278, 11.804880091737717, 10.53045157341123, 7.846201497288278, 8.253616017735286, 12.204783388927478, 9.97539877114946, 9.198532642134708, 9.675542797941675, 8.253616017735286]"
29,14,50,[81.51403497947169],"68.10490886675753, 297.81891849776116, 829.5457326628682, 1305.5352994851633, 2047.992054140222, 2701.0019353180983",600,"[10.590079711227652, 9.880750037804537, 10.590079711227652, 10.319870737621258, 9.304662095078676, 10.319870737621258, 8.68051949587289, 8.253616017735286, 8.253616017735286, 7.95622801788589, 6.99589627292279, 9.304662095078676, 11.042964617021132, 11.804880091737717, 11.420346515844125, 11.804880091737717, 9.880750037804537, 11.804880091737717, 6.428831484245913, 11.042964617021132, 9.880750037804537, 10.590079711227652, 9.880750037804537, 12.204783388927478, 10.319870737621258, 12.204783388927478, 11.042964617021132, 10.590079711227652, 8.253616017735286, 9.880750037804537, 7.626148456093052, 11.804880091737717, 10.590079711227652, 7.95622801788589, 8.253616017735286, 12.204783388927478, 9.880750037804537, 9.304662095078676, 9.880750037804537, 8.253616017735286]"
30,15,50,[81.08195789389686],"72.46938186633295, 300.1786273866994, 854.4677465911424, 1446.8602469910888, 2119.3080827669182, 3043.855658396976",600,"[10.590079711227652, 9.931108574354669, 10.590079711227652, 10.319870737621258, 9.198532642134708, 10.319870737621258, 8.68051949587289, 8.253616017735286, 8.253616017735286, 7.95622801788589, 6.99589627292279, 9.675542797941675, 11.042964617021132, 11.804880091737717, 11.420346515844125, 11.804880091737717, 9.931108574354669, 11.804880091737717, 6.428831484245913, 11.042964617021132, 9.931108574354669, 10.590079711227652, 9.931108574354669, 12.204783388927478, 10.319870737621258, 12.204783388927478, 11.042964617021132, 10.590079711227652, 8.253616017735286, 9.675542797941675, 7.626148456093052, 11.804880091737717, 10.590079711227652, 7.95622801788589, 8.253616017735286, 12.204783388927478, 9.931108574354669, 9.198532642134708, 9.675542797941675, 8.253616017735286]"
