,fbest,first,freq,sol,time
22,[154.32167706],100,"45.29636918385617, 322.19565049411847, 421.69071537501907, 449.7360212801555, 960.6694407167053, 1559.1324633919278",0000000000000000000000000000000011001111,1151.4267091751099
23,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1243.8797361850739
24,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1166.5229234695435
25,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1058.6127667427063
26,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1101.0608305931091
27,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1235.733635187149
28,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1262.633486032486
29,[153.43411375],100,"49.18838201303814, 324.54674475419506, 457.2487445884783, 464.9727392675173, 935.8004789815791, 1494.0856244926674",0000000000000000000000000000000000001011,1134.4094185829163
30,[153.22906896],100,"46.34830231885921, 321.5850768698506, 431.29794431052835, 449.88457572818476, 952.5687269016851, 1533.7243368941567",0000000000000000000000000000000010001111,1185.0807728767395
31,[153.22906896],100,"46.34830231885921, 321.5850768698506, 431.29794431052835, 449.88457572818476, 952.5687269016851, 1533.7243368941567",0000000000000000000000000000000000011111,1272.8522534370422
32,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1174.5401403903961
33,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1132.8947830200195
34,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1210.3823173046112
35,[152.04599572],100,"48.731912933925706, 329.9887287041588, 453.7020893107461, 483.537391262471, 939.9791185067486, 1425.9805961113696",0000000000000000100100000000000000001111,1222.3099253177643
36,[155.37108197],100,"44.68644554780174, 326.7976546088562, 415.9018019436744, 436.39408931985145, 974.1802432366347, 1581.3439244140247",0000000000000000000000000000000011111101,1210.0106046199799
37,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1347.9090971946716
38,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1116.4541521072388
